"district","grspan","enrltot","teachers","computer","testscr","compstu","expnstu","str","logavginc","elpct","readscr","mathscr"
"Knights Ferry Elementary","KK-08",125,7.079999924,25,681.5999756,0.200000003,4645.413086,17.6553669,1.151584341,0,688.5,674.7000122
"Kentfield Elementary","KK-08",1091,62.06000137,113,681.9000244,0.103574701,6489.928711,17.57976151,1.613767832,1.37488544,689.7999878,674
"Ballard Elementary","KK-06",134,6,27,682.1500244,0.201492533,5094.958984,22.33333397,1.341573016,2.238806009,681.7999878,682.5
"Oak Grove Union Elementary","KK-08",600,32,55,682.4500122,0.091666669,4841.958496,18.75,1.205853673,5.333333492,680,684.9000244
"Ross Valley Elementary","KK-08",1803,99.59999847,283,682.5499878,0.156960621,6315.3125,18.10240936,1.410557914,2.773155928,685.5999756,679.5
"Mountain Elementary","KK-06",158,7.800000191,15,682.6500244,0.094936706,5399.383301,20.2564106,1.311202719,0,687.2999878,678
"Burlingame Elementary","KK-08",2392,127.2200012,439,683.3499756,0.183528423,5429.473633,18.80207443,1.554004338,17.72575188,682.4000244,684.2999878
"Grant Elementary","KK-08",526,28.02000046,33,683.4000244,0.062737644,5644.286133,18.77230453,1.132483837,0,684.5,682.2999878
"Happy Valley Elementary","KK-06",141,6.909999847,44,684.3000488,0.31205675,6060.256836,20.40521049,1.302958334,0,680.4000244,688.2000122
"Bonny Doon Union Elementary","KK-06",235,12.60000038,30,684.3499756,0.127659574,5319.553711,18.65079308,1.262047482,0.425531894,688.5,680.2000122
"Walnut Creek Elementary","KK-08",3280,158.3999939,406,684.8000488,0.123780489,4819.903809,20.7070713,1.402084457,6.067073345,682.2000122,687.4000244
"Hope Elementary","KK-06",1254,57,0,684.9500122,0,5208.226074,22,1.399033049,10.12759113,686.2000122,683.7000122
"Larkspur Elementary","KK-08",948,53.56000137,155,686.0500488,0.163502112,5859.964844,17.6997757,1.486125728,3.375527382,692.2000122,679.9000244
"Cupertino Union Elementary","KK-08",15228,708.8300171,2232,686.6999512,0.146572098,4962.736816,21.48328972,1.438941114,8.648542404,683.0999756,690.2999878
"Pacific Elementary","KK-06",81,4.849999905,21,687.5499878,0.259259254,7614.379395,16.70103073,1.489114372,12.34567928,693.7999878,681.2999878
"Los Gatos Union Elementary","KK-08",2768,141.3999939,540,689.0999756,0.195086703,5566.467773,19.57567215,1.533511507,1.589595318,691.5999756,686.5999756
"Montecito Union Elementary","KK-06",535,31,84,691.0499878,0.157009348,7039.949219,17.25806427,1.635785231,1.495327115,693.5,688.5999756
"Solana Beach Elementary","KK-06",2542,146.3000031,404,691.3499756,0.158929974,6604.063965,17.37525558,1.446346851,10.38552284,687.7000122,695
"Menlo Park City Elementary","KK-08",1940,111.8199997,265,691.9000244,0.136597931,6180.148926,17.34931183,1.698439834,6.134020329,693.7000122,690.0999756
"Reed Union Elementary","KK-08",1059,65.12000275,272,693.9500122,0.25684607,6460.657227,16.26228523,1.742944965,2.266288996,695.9000244,692
"Mill Valley Elementary","KK-08",2340,132.1999969,403,694.25,0.172222227,6415.35498,17.70045471,1.549995839,2.47863245,693.5999756,694.9000244
"Lafayette Elementary","KK-08",3469,172.3399963,496,694.8000488,0.14298068,5230.876953,20.1288147,1.535306765,0.893629253,697.9000244,691.7000122
"Del Mar Union Elementary","KK-06",2106,115.3000031,300,695.1999512,0.142450139,5838.171875,18.26539421,1.586908637,2.421652317,695.0999756,695.2999878
"Woodside Elementary","KK-08",478,32.86999893,112,695.2999878,0.234309629,7711.506836,14.54213619,1.548291111,3.765690327,701.2999878,689.2999878
"Moraga Elementary","KK-08",1885,98.41999817,241,696.5500488,0.127851456,5592.765137,19.15261078,1.492089578,1.962864757,697.4000244,695.7000122
"Orinda Union Elementary","KK-08",2422,139.4700012,466,698.1999512,0.192402974,5933.154297,17.36574173,1.604916917,0.578034639,699.0999756,697.2999878
"Hillsborough City Elementary","KK-08",1318,87.05999756,412,698.25,0.312594831,7593.405762,15.13898468,1.554004338,2.807283878,695.4000244,701.0999756
"Cold Spring Elementary","KK-06",220,12.32999992,22,698.4499512,0.100000001,6500.449707,17.8426609,1.635785231,1.363636374,693.2999878,703.5999756
"Portola Valley Elementary","KK-08",687,44.59000015,209,699.0999756,0.304221243,7217.263184,15.40704155,1.704810881,1.164483309,698.2999878,699.9000244
"Saratoga Union Elementary","KK-08",2341,124.0899963,286,700.3000488,0.122170016,5392.638672,18.86533928,1.606402869,2.050405741,698.9000244,701.7000122
"Las Lomitas Elementary","KK-08",984,59.72999954,195,704.3000488,0.198170736,7290.338867,16.47413445,1.458139054,5.995934963,700.9000244,707.7000122
"Los Altos Elementary","KK-08",3724,208.4799957,721,706.75,0.193609029,5741.462891,17.86262512,1.620491135,4.726100922,704,709.5
"Somis Union Elementary","KK-08",441,20.14999962,45,645,0.10204082,4402.831543,21.88585663,1.375352636,24.26303864,648.2999878,641.7000122
"Plumas Elementary","KK-08",101,5,14,672.2000122,0.138613865,4776.336426,20.20000076,0.997910353,2.970297098,667.9000244,676.5
"Wheatland Elementary","KK-08",1778,93.40000153,313,655.75,0.1760405,5993.392578,19.03640175,1.09697949,5.005624294,660.5,651
